Play,Type,Bnt,Fl,Loc,B,R2,Count,Probability,New Outs,Runs
Single,Grounder,-,-,5,1st,Score,2,  0.05%,0,1
Double,Fly,-,-,9D,2nd,3rd,2,  0.05%,0,0
Generic out,Liner,-,-,8XD,Out,2nd,2,  0.05%,1,0
Defensive indifference,-,-,-,-,Stays,3rd,2,  0.05%,0,0
Single,Grounder,-,-,6S,1st,2nd,2,  0.05%,0,0
Triple,Liner,-,-,89XD,3rd,Score,2,  0.05%,0,1
Generic out,Grounder,-,-,4,Out,2nd,2,  0.05%,1,0
Generic out,Fly,-,-,3D,Out,2nd,2,  0.05%,1,0
Double,Fly,-,-,7LD,2nd,Score,2,  0.05%,0,1
Generic out,Fly,-,-,8XD,Out,2nd,2,  0.05%,1,0
Generic out,Grounder,Y,-,1S,Out,2nd,2,  0.05%,1,0
Single,Liner,-,-,78D,1st,3rd,2,  0.05%,0,0
Generic out,Fly,-,-,78,Out,3rd,2,  0.05%,1,0
Strikeout,-,-,-,-,Out,Score,2,  0.05%,1,1
Generic out,Fly,-,-,56D,Out,2nd,2,  0.05%,1,0
Generic out,Fly,-,Y,3DF,Out,2nd,2,  0.05%,1,0
Generic out,Liner,-,-,7S,Out,2nd,2,  0.05%,1,0
Generic out,Pop-up,-,Y,3DF,Out,2nd,2,  0.05%,1,0
Double,Liner,-,-,7LS,2nd,Score,2,  0.05%,0,1
Single,Grounder,-,-,56S,1st,2nd,2,  0.05%,0,0
Single,Liner,-,-,89XD,1st,Score,2,  0.05%,0,1
Generic out,Pop-up,-,-,4M,Out,2nd,2,  0.05%,1,0
Generic out,Fly,-,Y,7LSF,Out,2nd,2,  0.05%,1,0
Generic out,Liner,-,-,89D,Out,Out,2,  0.05%,2,0
Single,Liner,-,-,3D,1st,Score,2,  0.05%,0,1
Generic out,Pop-up,Y,-,5S,Out,2nd,2,  0.05%,1,0
Generic out,Pop-up,-,-,8S,Out,2nd,2,  0.05%,1,0
Generic out,Liner,-,-,34,Out,Out,2,  0.05%,2,0
Generic out,Pop-up,Y,-,56S,Out,2nd,2,  0.05%,1,0
Generic out,Liner,-,-,56D,Out,2nd,2,  0.05%,1,0
Fielder's choice,Grounder,-,-,56S,1st,Out,2,  0.05%,1,0
Single,Liner,-,-,8,2nd,Score,2,  0.05%,0,1
Single,Grounder,Y,-,15,1st,3rd,2,  0.05%,0,0
Single,Grounder,Y,-,1S,1st,3rd,2,  0.05%,0,0
Double,Liner,-,-,78,2nd,Score,2,  0.05%,0,1
Fielder's choice,Grounder,Y,-,25,1st,3rd,2,  0.05%,0,0
Generic out,Grounder,-,-,25,Out,2nd,2,  0.05%,1,0
Single,Fly,-,-,9LS,1st,3rd,2,  0.05%,0,0
Fielder's choice,Grounder,Y,-,2,1st,3rd,2,  0.05%,0,0
Generic out,Fly,-,-,34D,Out,2nd,2,  0.05%,1,0
Triple,Grounder,-,-,3,3rd,Score,2,  0.05%,0,1
Generic out,Liner,-,-,78D,Out,3rd,2,  0.05%,1,0
Generic out,Pop-up,-,-,78S,Out,2nd,2,  0.05%,1,0
Generic out,Liner,-,-,6MD,Out,2nd,1,  0.03%,1,0
Double,Liner,-,-,7D,2nd,3rd,1,  0.03%,0,0
Fielder's choice,Grounder,-,-,6,Out,Out,1,  0.03%,2,0
Single,Fly,-,-,89,1st,Score,1,  0.03%,0,1
Generic out,Liner,-,-,13,Out,Out,1,  0.03%,2,0
Error,Liner,-,-,6M,1st,2nd,1,  0.03%,0,0
Fielder's choice,Grounder,-,-,34,2nd,Out,1,  0.03%,1,0
Double,Liner,-,-,8XD,Out,Score,1,  0.03%,1,1
Triple,Liner,-,-,78D,3rd,Score,1,  0.03%,0,1
Generic out,Liner,-,-,8D,Out,Score,1,  0.03%,1,1
Fielder's choice,Grounder,Y,-,2,1st,Score,1,  0.03%,0,1
Single,Liner,-,-,23,1st,3rd,1,  0.03%,0,0
Single,Fly,-,-,7LS,2nd,Score,1,  0.03%,0,1
Error,Grounder,Y,-,1S,2nd,Score,1,  0.03%,0,1
Fielder's choice,Grounder,-,-,13,1st,Out,1,  0.03%,1,0
Single,Liner,-,-,9LD,1st,Score,1,  0.03%,0,1
Triple,Liner,-,-,89D,3rd,Score,1,  0.03%,0,1
Error,Grounder,-,-,4,1st,Score,1,  0.03%,0,1
Single,Liner,-,-,8XD,1st,Score,1,  0.03%,0,1
Single,Grounder,-,-,2,1st,2nd,1,  0.03%,0,0
Error,Grounder,-,-,34,1st,Score,1,  0.03%,0,1
Generic out,Fly,-,-,7L,Out,3rd,1,  0.03%,1,0
Single,Fly,-,-,3D,1st,3rd,1,  0.03%,0,0
Single,Grounder,-,-,56,2nd,Score,1,  0.03%,0,1
Error,Grounder,-,-,25,1st,Score,1,  0.03%,0,1
Single,Grounder,-,-,6MS,1st,3rd,1,  0.03%,0,0
Generic out,Fly,-,-,7D,Out,Out,1,  0.03%,2,0
Fielder's choice,Grounder,Y,-,23,1st,Out,1,  0.03%,1,0
Generic out,Pop-up,Y,Y,23F,Out,2nd,1,  0.03%,1,0
Error,Grounder,-,-,56,2nd,Score,1,  0.03%,0,1
Generic out,Liner,-,-,9S,Out,2nd,1,  0.03%,1,0
Generic out,Grounder,-,-,4S,Out,2nd,1,  0.03%,1,0
Single,Liner,-,-,89,2nd,Score,1,  0.03%,0,1
Generic out,Liner,-,-,6,Out,2nd,1,  0.03%,1,0
Fielder's choice,Grounder,-,-,34,1st,2nd,1,  0.03%,0,0
Single,Grounder,-,-,4S,1st,3rd,1,  0.03%,0,0
Generic out,Pop-up,-,Y,25F,Out,2nd,1,  0.03%,1,0
Fielder's choice,Grounder,-,-,4MS,1st,Out,1,  0.03%,1,0
Single,Fly,-,-,89S,1st,Score,1,  0.03%,0,1
Generic out,Pop-up,-,-,6D,Out,2nd,1,  0.03%,1,0
Generic out,Pop-up,-,-,6MS,Out,2nd,1,  0.03%,1,0
Triple,Fly,-,-,8,3rd,Score,1,  0.03%,0,1
Double,Fly,-,-,7D,Out,Score,1,  0.03%,1,1
Fielder's choice,Grounder,-,-,1S,1st,3rd,1,  0.03%,0,0
Generic out,Pop-up,Y,-,1,Out,3rd,1,  0.03%,1,0
Generic out,Fly,-,Y,9LSF,Out,2nd,1,  0.03%,1,0
Generic out,Fly,-,Y,9LSF,Out,3rd,1,  0.03%,1,0
Double,Fly,-,-,9LS,2nd,3rd,1,  0.03%,0,0
Generic out,Liner,-,-,7LS,Out,2nd,1,  0.03%,1,0
Single,Liner,-,-,89,1st,2nd,1,  0.03%,0,0
Single,Liner,-,-,8S,2nd,Out,1,  0.03%,1,0
Single,Liner,-,-,9L,Out,Score,1,  0.03%,1,1
Generic out,Liner,-,-,6D,Out,Out,1,  0.03%,2,0
Double,Liner,-,-,78XD,2nd,3rd,1,  0.03%,0,0
Error,Fly,-,-,7LS,2nd,3rd,1,  0.03%,0,0
Single,Grounder,-,-,5S,1st,2nd,1,  0.03%,0,0
Home run,Liner,-,-,8XD,Score,Score,1,  0.03%,0,2
Single,Grounder,-,-,6M,2nd,Score,1,  0.03%,0,1
Single,Fly,-,-,7LS,1st,Score,1,  0.03%,0,1
Single,Liner,-,-,9S,1st,Score,1,  0.03%,0,1
Single,Grounder,-,-,3S,2nd,Score,1,  0.03%,0,1
Single,Grounder,Y,-,3S,1st,3rd,1,  0.03%,0,0
Fielder's choice,Grounder,-,-,6S,2nd,Out,1,  0.03%,1,0
Generic out,Liner,-,-,6M,Out,Out,1,  0.03%,2,0
Generic out,Liner,-,-,4MD,Out,Out,1,  0.03%,2,0
Generic out,Pop-up,-,Y,23F,Out,2nd,1,  0.03%,1,0
Single,Liner,-,-,56D,1st,Score,1,  0.03%,0,1
Single,Liner,-,-,7L,1st,Score,1,  0.03%,0,1
Single,Liner,-,-,5D,3rd,Score,1,  0.03%,0,1
Double,Grounder,-,-,4,2nd,Score,1,  0.03%,0,1
Generic out,Liner,-,-,8,Out,Out,1,  0.03%,2,0
Error,Grounder,-,-,3S,1st,3rd,1,  0.03%,0,0
Single,Pop-up,Y,-,23,1st,3rd,1,  0.03%,0,0
Fielder's choice,Grounder,-,-,6MS,1st,Out,1,  0.03%,1,0
Double,Fly,-,-,9LD,2nd,3rd,1,  0.03%,0,0
Single,Liner,-,-,9LS,1st,Score,1,  0.03%,0,1
Fielder's choice,Grounder,-,-,6,1st,3rd,1,  0.03%,0,0
Double,Grounder,-,-,56,2nd,Score,1,  0.03%,0,1
Generic out,Grounder,-,-,1,Out,3rd,1,  0.03%,1,0
Triple,Fly,-,-,8XD,3rd,Score,1,  0.03%,0,1
Triple,Liner,-,-,78XD,3rd,Score,1,  0.03%,0,1
Double,Fly,-,-,7LD,2nd,3rd,1,  0.03%,0,0
Single,Pop-up,-,-,5D,1st,3rd,1,  0.03%,0,0
Single,Grounder,-,-,6,Out,Score,1,  0.03%,1,1
Error,Grounder,-,-,6,1st,Score,1,  0.03%,0,1
Single,Liner,-,-,4,1st,2nd,1,  0.03%,0,0
Generic out,Grounder,-,-,5,Out,3rd,1,  0.03%,1,0
Single,Liner,-,-,7L,2nd,Score,1,  0.03%,0,1
Error,Liner,-,-,5,1st,2nd,1,  0.03%,0,0
Generic out,Fly,-,-,8,Out,3rd,1,  0.03%,1,0
Double,Liner,-,-,8D,2nd,Score,1,  0.03%,0,1
Single,Liner,-,-,8D,Out,Score,1,  0.03%,1,1
Single,Liner,-,-,78D,2nd,Score,1,  0.03%,0,1
Generic out,Pop-up,-,-,89S,Out,2nd,1,  0.03%,1,0
Pickoff,-,-,-,-,Stays,3rd,1,  0.03%,0,0
Generic out,Grounder,-,-,6D,Out,2nd,1,  0.03%,1,0
Generic out,Grounder,-,-,56D,Out,3rd,1,  0.03%,1,0
Double,Fly,-,-,7L,2nd,Score,1,  0.03%,0,1
Generic out,Grounder,-,-,13,Out,3rd,1,  0.03%,1,0
Double,Liner,-,-,89,2nd,3rd,1,  0.03%,0,0
Stolen base,-,-,-,-,Stays,Score,1,  0.03%,0,1
Generic out,Liner,-,-,4MD,Out,2nd,1,  0.03%,1,0
Single,Grounder,-,-,34,1st,Out,1,  0.03%,1,0
Home run,Liner,-,-,9D,Score,Score,1,  0.03%,0,2
Error,Grounder,-,-,6,2nd,3rd,1,  0.03%,0,0
Double,Pop-up,-,-,5D,2nd,Score,1,  0.03%,0,1
Generic out,Liner,Y,-,1S,Out,Out,1,  0.03%,2,0
Generic out,Fly,-,-,9LS,Out,Out,1,  0.03%,2,0
Single,Grounder,-,-,6M,2nd,3rd,1,  0.03%,0,0
Single,Liner,-,-,9,Out,Score,1,  0.03%,1,1
Generic out,Fly,-,-,7LD,Out,3rd,1,  0.03%,1,0
Error,Fly,-,-,8XD,2nd,3rd,1,  0.03%,0,0
Single,Grounder,-,-,3S,1st,3rd,1,  0.03%,0,0
Single,Liner,-,-,8D,2nd,Score,1,  0.03%,0,1
Double,Liner,-,-,89,2nd,Score,1,  0.03%,0,1
Single,Grounder,-,-,2,1st,3rd,1,  0.03%,0,0
Single,Fly,-,-,7S,2nd,Out,1,  0.03%,1,0
Triple,Liner,-,-,9LD,3rd,Score,1,  0.03%,0,1
Generic out,Liner,-,-,56S,Out,Out,1,  0.03%,2,0
Generic out,Pop-up,Y,-,15,Out,2nd,1,  0.03%,1,0
Fielder's choice,Grounder,Y,-,1S,3rd,Score,1,  0.03%,0,1
Generic out,Grounder,-,-,6MD,Out,3rd,1,  0.03%,1,0
Single,Grounder,-,-,34S,1st,3rd,1,  0.03%,0,0
Single,Liner,-,-,9D,2nd,3rd,1,  0.03%,0,0
Single,Fly,-,-,89S,2nd,Score,1,  0.03%,0,1
Double,Fly,-,-,9L,2nd,3rd,1,  0.03%,0,0
Generic out,Fly,-,-,4MD,Out,2nd,1,  0.03%,1,0
Generic out,Fly,-,-,7,Out,3rd,1,  0.03%,1,0
Fielder's choice,Grounder,-,-,6M,1st,2nd,1,  0.03%,0,0
Generic out,Liner,-,-,4M,Out,2nd,1,  0.03%,1,0
Triple,Liner,-,-,89,3rd,Score,1,  0.03%,0,1
Single,Liner,-,-,9L,2nd,Score,1,  0.03%,0,1
Single,Fly,-,-,9S,1st,Score,1,  0.03%,0,1
Generic out,Liner,-,-,4D,Out,2nd,1,  0.03%,1,0
Single,Grounder,Y,-,2,2nd,Score,1,  0.03%,0,1
Generic out,Fly,-,-,8S,Out,Out,1,  0.03%,2,0
Single,Pop-up,Y,-,2,1st,2nd,1,  0.03%,0,0
Fielder's choice,Grounder,-,-,56,1st,Out,1,  0.03%,1,0
Single,Fly,-,-,7L,1st,Score,1,  0.03%,0,1
Generic out,Fly,-,-,89,Out,3rd,1,  0.03%,1,0
Generic out,Pop-up,-,-,34S,Out,2nd,1,  0.03%,1,0
Single,Grounder,Y,-,13,1st,3rd,1,  0.03%,0,0
Generic out,Grounder,-,-,3D,Out,3rd,1,  0.03%,1,0
Generic out,Liner,-,-,1S,Out,3rd,1,  0.03%,1,0
Single,Liner,-,-,78S,2nd,Score,1,  0.03%,0,1
Single,Grounder,Y,-,56S,1st,Score,1,  0.03%,0,1
Single,Fly,-,-,9,1st,3rd,1,  0.03%,0,0
Generic out,Fly,-,-,89XD,Out,2nd,1,  0.03%,1,0
Single,Liner,-,-,6,1st,3rd,1,  0.03%,0,0
Single,Liner,-,-,78,1st,Out,1,  0.03%,1,0
Error,Grounder,-,-,5,1st,3rd,1,  0.03%,0,0
Generic out,Pop-up,Y,-,13,Out,2nd,1,  0.03%,1,0
Single,Liner,-,-,89D,2nd,Score,1,  0.03%,0,1
Single,Liner,-,-,34D,1st,Score,1,  0.03%,0,1
Generic out,Liner,-,-,34D,Out,Out,1,  0.03%,2,0
Single,Grounder,-,-,2,2nd,Score,1,  0.03%,0,1
Error,Grounder,-,-,4,1st,3rd,1,  0.03%,0,0
Fielder's choice,Grounder,-,-,4,2nd,Out,1,  0.03%,1,0
Fielder's choice,Grounder,-,-,1S,1st,2nd,1,  0.03%,0,0
Generic out,Fly,-,-,6MD,Out,2nd,1,  0.03%,1,0
Double,Fly,-,-,7D,2nd,3rd,1,  0.03%,0,0
Generic out,Pop-up,Y,Y,25F,Out,2nd,1,  0.03%,1,0
Generic out,Grounder,-,-,4M,Out,2nd,1,  0.03%,1,0
Interference,-,-,-,-,1st,2nd,1,  0.03%,0,0
Fielder's choice,Grounder,-,-,6,1st,2nd,1,  0.03%,0,0
Single,Liner,-,-,78D,2nd,3rd,1,  0.03%,0,0
Single,Fly,-,-,7S,1st,2nd,1,  0.03%,0,0
Generic out,Pop-up,-,-,4MS,Out,2nd,1,  0.03%,1,0
Generic out,Grounder,-,-,2,Out,Out,1,  0.03%,2,0
Single,Liner,-,-,9,2nd,3rd,1,  0.03%,0,0
Home run,Liner,-,-,89XD,Score,Score,1,  0.03%,0,2
Single,Grounder,-,-,4M,Out,Score,1,  0.03%,1,1
Single,Liner,-,-,7LD,1st,Score,1,  0.03%,0,1
Generic out,Liner,-,-,7L,Out,2nd,1,  0.03%,1,0
Generic out,Grounder,-,-,1,Out,Out,1,  0.03%,2,0
Single,Liner,-,-,4D,1st,3rd,1,  0.03%,0,0
Double,Fly,-,-,7LS,2nd,Score,1,  0.03%,0,1
Generic out,Pop-up,-,-,25,Out,2nd,1,  0.03%,1,0
Generic out,Liner,-,-,34D,Out,2nd,1,  0.03%,1,0
Single,Liner,-,-,6D,1st,Score,1,  0.03%,0,1
Generic out,Grounder,Y,-,13,Out,3rd,1,  0.03%,1,0
Home run,Liner,-,-,7LD,Score,Score,1,  0.03%,0,2
Single,Grounder,-,-,13,1st,3rd,1,  0.03%,0,0
Single,Liner,-,-,78,2nd,Score,1,  0.03%,0,1
Double,Liner,-,-,3,2nd,Score,1,  0.03%,0,1
Home run,Liner,-,-,78XD,Score,Score,1,  0.03%,0,2
Generic out,Fly,-,-,9L,Out,Score,1,  0.03%,1,1
Generic out,Liner,-,-,89,Out,Out,1,  0.03%,2,0
Generic out,Fly,-,-,9S,Out,3rd,1,  0.03%,1,0
Triple,Grounder,-,-,5,3rd,Score,1,  0.03%,0,1
Generic out,Fly,-,Y,5F,Out,2nd,1,  0.03%,1,0
Fielder's choice,Grounder,-,-,4MS,2nd,Out,1,  0.03%,1,0
Generic out,Fly,-,-,5S,Out,2nd,1,  0.03%,1,0
Generic out,Liner,-,-,9LD,Out,3rd,1,  0.03%,1,0
Single,Grounder,-,-,6,2nd,3rd,1,  0.03%,0,0
Double,Grounder,-,-,3S,2nd,Score,1,  0.03%,0,1
Single,Grounder,-,-,6S,1st,3rd,1,  0.03%,0,0
Generic out,Grounder,-,-,5D,Out,2nd,1,  0.03%,1,0
Fielder's choice,Grounder,-,-,3,1st,Out,1,  0.03%,1,0
Single,Grounder,-,-,4MS,1st,3rd,1,  0.03%,0,0
Single,Fly,-,-,7LS,1st,3rd,1,  0.03%,0,0
Single,Fly,-,-,9LS,1st,Score,1,  0.03%,0,1
Single,Liner,-,-,8,Out,3rd,1,  0.03%,1,0
Single,Fly,-,-,7S,1st,Score,1,  0.03%,0,1
Double,Liner,-,-,9L,Out,Score,1,  0.03%,1,1
Single,Liner,-,-,4MD,1st,2nd,1,  0.03%,0,0
