Play,Type,Bnt,Fl,Loc,B,R1,R2,Count,Probability,New Outs,Runs
Strikeout,-,-,-,-,Out,1st,2nd,1204, 21.78%,3,0
Walk,-,-,-,-,1st,2nd,3rd,452,  8.18%,2,0
Generic out,Grounder,-,-,34,Out,1st,2nd,191,  3.46%,3,0
Generic out,Grounder,-,-,3,Out,1st,2nd,123,  2.23%,3,0
Generic out,Grounder,-,-,6,1st,Out,2nd,115,  2.08%,3,0
Generic out,Grounder,-,-,4,Out,1st,2nd,100,  1.81%,3,0
Generic out,Grounder,-,-,6,Out,1st,2nd,95,  1.72%,3,0
Wild pitch,-,-,-,-,Stays,2nd,3rd,81,  1.47%,2,0
Generic out,Grounder,-,-,56,Out,1st,2nd,68,  1.23%,3,0
Generic out,Fly,-,-,8XD,Out,1st,2nd,67,  1.21%,3,0
Hit by pitch,-,-,-,-,1st,2nd,3rd,63,  1.14%,2,0
Generic out,Fly,-,-,8,Out,1st,2nd,49,  0.89%,3,0
Generic out,Fly,-,-,8D,Out,1st,2nd,42,  0.76%,3,0
Generic out,Grounder,-,-,56,1st,Out,2nd,42,  0.76%,3,0
Stolen base,-,-,-,-,Stays,2nd,3rd,42,  0.76%,2,0
Generic out,Fly,-,-,78D,Out,1st,2nd,42,  0.76%,3,0
Generic out,Fly,-,-,78XD,Out,1st,2nd,39,  0.71%,3,0
Generic out,Fly,-,-,89D,Out,1st,2nd,35,  0.63%,3,0
Generic out,Fly,-,-,9,Out,1st,2nd,35,  0.63%,3,0
Generic out,Fly,-,-,89XD,Out,1st,2nd,31,  0.56%,3,0
Generic out,Grounder,-,-,1S,Out,1st,2nd,30,  0.54%,3,0
Generic out,Fly,-,-,9D,Out,1st,2nd,30,  0.54%,3,0
Generic out,Liner,-,-,8D,Out,1st,2nd,29,  0.52%,3,0
Home run,Fly,-,-,9D,Score,Score,Score,27,  0.49%,2,3
Generic out,Fly,-,-,78,Out,1st,2nd,27,  0.49%,3,0
Generic out,Grounder,-,-,5,Out,1st,2nd,27,  0.49%,3,0
Stolen base,-,-,-,-,Stays,1st,3rd,26,  0.47%,2,0
Generic out,Fly,-,-,89,Out,1st,2nd,26,  0.47%,3,0
Generic out,Fly,-,-,7D,Out,1st,2nd,26,  0.47%,3,0
Generic out,Grounder,-,-,5,1st,1st,Out,25,  0.45%,3,0
Generic out,Fly,-,-,7,Out,1st,2nd,25,  0.45%,3,0
Generic out,Grounder,-,-,4,1st,Out,2nd,25,  0.45%,3,0
Generic out,Fly,-,-,8S,Out,1st,2nd,24,  0.43%,3,0
Single,Liner,-,-,89,1st,3rd,Score,24,  0.43%,2,1
Home run,Fly,-,-,7D,Score,Score,Score,24,  0.43%,2,3
Generic out,Liner,-,-,8,Out,1st,2nd,23,  0.42%,3,0
Single,Grounder,-,-,34,1st,3rd,Score,23,  0.42%,2,1
Single,Grounder,-,-,56,1st,2nd,Score,22,  0.40%,2,1
Generic out,Fly,-,-,9S,Out,1st,2nd,22,  0.40%,3,0
Generic out,Fly,-,-,7S,Out,1st,2nd,22,  0.40%,3,0
Single,Liner,-,-,8,1st,2nd,Score,21,  0.38%,2,1
Generic out,Liner,-,-,89D,Out,1st,2nd,21,  0.38%,3,0
Generic out,Fly,-,-,7L,Out,1st,2nd,20,  0.36%,3,0
Home run,Fly,-,-,7LD,Score,Score,Score,20,  0.36%,2,3
Generic out,Fly,-,-,78S,Out,1st,2nd,20,  0.36%,3,0
Home run,Fly,-,-,8XD,Score,Score,Score,20,  0.36%,2,3
Generic out,Grounder,-,-,6M,Out,1st,2nd,20,  0.36%,3,0
Double,Liner,-,-,78XD,2nd,Score,Score,20,  0.36%,2,2
Generic out,Grounder,-,-,56S,Out,1st,2nd,20,  0.36%,3,0
Generic out,Liner,-,-,9D,Out,1st,2nd,20,  0.36%,3,0
Generic out,Pop-up,-,Y,3F,Out,1st,2nd,19,  0.34%,3,0
Single,Grounder,-,-,6M,1st,2nd,Score,19,  0.34%,2,1
Single,Grounder,-,-,4M,1st,3rd,Score,19,  0.34%,2,1
Generic out,Grounder,-,-,6M,1st,Out,2nd,19,  0.34%,3,0
Generic out,Liner,-,-,7D,Out,1st,2nd,18,  0.33%,3,0
Generic out,Liner,-,-,9,Out,1st,2nd,18,  0.33%,3,0
Generic out,Fly,-,-,9LD,Out,1st,2nd,18,  0.33%,3,0
Generic out,Pop-up,-,Y,2F,Out,1st,2nd,18,  0.33%,3,0
Generic out,Liner,-,-,78D,Out,1st,2nd,18,  0.33%,3,0
Generic out,Fly,-,-,9L,Out,1st,2nd,18,  0.33%,3,0
Home run,Fly,-,-,89XD,Score,Score,Score,18,  0.33%,2,3
Single,Grounder,-,-,6,1st,2nd,3rd,17,  0.31%,2,0
Generic out,Grounder,-,-,56,1st,1st,Out,17,  0.31%,3,0
Generic out,Fly,-,-,89S,Out,1st,2nd,17,  0.31%,3,0
Generic out,Grounder,-,-,1,Out,1st,2nd,17,  0.31%,3,0
Home run,Fly,-,-,9LD,Score,Score,Score,16,  0.29%,2,3
Generic out,Grounder,-,-,4M,Out,1st,2nd,16,  0.29%,3,0
Single,Liner,-,-,7,1st,2nd,Score,16,  0.29%,2,1
Generic out,Pop-up,-,-,6D,Out,1st,2nd,15,  0.27%,3,0
Home run,Fly,-,-,78XD,Score,Score,Score,15,  0.27%,2,3
Single,Grounder,-,-,4,1st,3rd,Score,15,  0.27%,2,1
Single,Liner,-,-,89D,1st,3rd,Score,15,  0.27%,2,1
Generic out,Liner,-,-,89,Out,1st,2nd,15,  0.27%,3,0
Generic out,Liner,-,-,8XD,Out,1st,2nd,14,  0.25%,3,0
Single,Grounder,-,-,6M,1st,3rd,Score,14,  0.25%,2,1
Double,Liner,-,-,7LD,2nd,Score,Score,13,  0.24%,2,2
Single,Grounder,-,-,34,1st,2nd,Score,13,  0.24%,2,1
Single,Grounder,-,-,6,1st,2nd,Score,13,  0.24%,2,1
Generic out,Grounder,-,-,2,Out,1st,2nd,13,  0.24%,3,0
Single,Grounder,-,-,6,1st,3rd,Score,13,  0.24%,2,1
Generic out,Fly,-,-,9LS,Out,1st,2nd,13,  0.24%,3,0
Generic out,Grounder,-,-,4M,1st,Out,2nd,13,  0.24%,3,0
Generic out,Liner,-,-,3,Out,1st,2nd,12,  0.22%,3,0
Single,Grounder,-,-,56,1st,2nd,3rd,12,  0.22%,2,0
Single,Liner,-,-,78,1st,2nd,Score,12,  0.22%,2,1
Double,Grounder,-,-,5,2nd,3rd,Score,12,  0.22%,2,1
Double,Liner,-,-,89XD,2nd,Score,Score,12,  0.22%,2,2
Generic out,Pop-up,-,-,4D,Out,1st,2nd,12,  0.22%,3,0
Generic out,Grounder,-,-,6MS,Out,1st,2nd,12,  0.22%,3,0
Generic out,Grounder,-,-,6S,Out,1st,2nd,12,  0.22%,3,0
Generic out,Grounder,-,-,23,Out,1st,2nd,11,  0.20%,3,0
Generic out,Fly,-,-,7LD,Out,1st,2nd,11,  0.20%,3,0
Single,Liner,-,-,78,1st,3rd,Score,11,  0.20%,2,1
Double,Liner,-,-,9LD,2nd,3rd,Score,11,  0.20%,2,1
Single,Liner,-,-,9S,1st,3rd,Score,11,  0.20%,2,1
Single,Liner,-,-,9,1st,2nd,Score,11,  0.20%,2,1
Double,Fly,-,-,78XD,2nd,Score,Score,11,  0.20%,2,2
Generic out,Grounder,-,-,13,Out,1st,2nd,11,  0.20%,3,0
Balk,-,-,-,-,Stays,2nd,3rd,11,  0.20%,2,0
Generic out,Pop-up,-,-,6,Out,1st,2nd,11,  0.20%,3,0
Generic out,Liner,-,-,7,Out,1st,2nd,11,  0.20%,3,0
Passed ball,-,-,-,-,Stays,2nd,3rd,10,  0.18%,2,0
Generic out,Pop-up,-,Y,5F,Out,1st,2nd,10,  0.18%,3,0
Single,Liner,-,-,8S,1st,2nd,Score,10,  0.18%,2,1
Generic out,Pop-up,-,Y,3SF,Out,1st,2nd,10,  0.18%,3,0
Single,Grounder,-,-,3,1st,3rd,Score,10,  0.18%,2,1
Generic out,Liner,-,-,78,Out,1st,2nd,10,  0.18%,3,0
Generic out,Grounder,-,-,5,1st,Out,2nd,10,  0.18%,3,0
Caught stealing,-,-,-,-,Stays,1st,Out,10,  0.18%,3,0
Single,Liner,-,-,78S,1st,2nd,Score,10,  0.18%,2,1
Generic out,Liner,-,-,4D,Out,1st,2nd,9,  0.16%,3,0
Generic out,Grounder,-,-,4D,Out,1st,2nd,9,  0.16%,3,0
Generic out,Pop-up,-,-,4,Out,1st,2nd,9,  0.16%,3,0
Pickoff,-,-,-,-,Stays,1st,Out,9,  0.16%,3,0
Generic out,Pop-up,-,-,34,Out,1st,2nd,9,  0.16%,3,0
Generic out,Pop-up,-,Y,5SF,Out,1st,2nd,9,  0.16%,3,0
Single,Liner,-,-,9,1st,3rd,Score,9,  0.16%,2,1
Single,Liner,-,-,89S,1st,3rd,Score,9,  0.16%,2,1
Generic out,Pop-up,-,-,1S,Out,1st,2nd,8,  0.14%,3,0
Generic out,Pop-up,-,-,56,Out,1st,2nd,8,  0.14%,3,0
Single,Grounder,-,-,4,1st,2nd,Score,8,  0.14%,2,1
Generic out,Fly,-,-,56D,Out,1st,2nd,8,  0.14%,3,0
Generic out,Grounder,-,-,4MS,Out,1st,2nd,8,  0.14%,3,0
Single,Liner,-,-,8,1st,3rd,Score,8,  0.14%,2,1
Generic out,Grounder,-,-,34S,Out,1st,2nd,8,  0.14%,3,0
Generic out,Fly,-,-,1S,Out,1st,2nd,8,  0.14%,3,0
Single,Grounder,-,-,4M,1st,2nd,Score,8,  0.14%,2,1
Generic out,Liner,-,-,56,Out,1st,2nd,8,  0.14%,3,0
Single,Liner,-,-,89,1st,2nd,Score,8,  0.14%,2,1
Wild pitch,-,-,-,-,Stays,1st,3rd,8,  0.14%,2,0
Double,Liner,-,-,78D,2nd,Score,Score,8,  0.14%,2,2
Generic out,Pop-up,-,-,3D,Out,1st,2nd,8,  0.14%,3,0
Single,Liner,-,-,9LS,1st,3rd,Score,8,  0.14%,2,1
Generic out,Fly,-,-,4D,Out,1st,2nd,7,  0.13%,3,0
Generic out,Liner,-,-,4,Out,1st,2nd,7,  0.13%,3,0
Generic out,Pop-up,-,Y,3DF,Out,1st,2nd,7,  0.13%,3,0
Single,Liner,-,-,9,1st,2nd,3rd,7,  0.13%,2,0
Generic out,Pop-up,-,-,3,Out,1st,2nd,7,  0.13%,3,0
Generic out,Pop-up,-,-,6MD,Out,1st,2nd,7,  0.13%,3,0
Generic out,Grounder,-,-,3S,Out,1st,2nd,7,  0.13%,3,0
Single,Grounder,-,-,4M,1st,2nd,3rd,7,  0.13%,2,0
Double,Liner,-,-,7L,2nd,Score,Score,7,  0.13%,2,2
Generic out,Grounder,-,-,56S,1st,1st,Out,7,  0.13%,3,0
Double,Liner,-,-,9L,2nd,3rd,Score,7,  0.13%,2,1
Single,Liner,-,-,9L,1st,3rd,Score,7,  0.13%,2,1
Generic out,Liner,-,-,78XD,Out,1st,2nd,7,  0.13%,3,0
Generic out,Grounder,-,-,56S,1st,Out,2nd,7,  0.13%,3,0
Generic out,Pop-up,-,-,5D,Out,1st,2nd,7,  0.13%,3,0
Double,Fly,-,-,89XD,2nd,Score,Score,7,  0.13%,2,2
Generic out,Pop-up,-,-,5,Out,1st,2nd,7,  0.13%,3,0
Single,Grounder,-,-,6S,1st,2nd,3rd,6,  0.11%,2,0
Single,Grounder,-,-,56S,1st,2nd,3rd,6,  0.11%,2,0
Triple,Liner,-,-,89XD,3rd,Score,Score,6,  0.11%,2,2
Single,Liner,-,-,7S,1st,2nd,Score,6,  0.11%,2,1
Generic out,Pop-up,-,-,56D,Out,1st,2nd,6,  0.11%,3,0
Generic out,Pop-up,-,-,34D,Out,1st,2nd,6,  0.11%,3,0
Single,Grounder,-,-,34,1st,2nd,3rd,6,  0.11%,2,0
Single,Liner,-,-,7,2nd,3rd,Score,6,  0.11%,2,1
Generic out,Liner,-,-,89XD,Out,1st,2nd,6,  0.11%,3,0
Double,Fly,-,-,8XD,2nd,Score,Score,6,  0.11%,2,2
Generic out,Grounder,-,-,6D,1st,Out,2nd,6,  0.11%,3,0
Double,Liner,-,-,7LD,2nd,3rd,Score,6,  0.11%,2,1
Generic out,Pop-up,-,Y,5DF,Out,1st,2nd,6,  0.11%,3,0
Single,Liner,-,-,78D,1st,3rd,Score,5,  0.09%,2,1
Double,Fly,-,-,9LD,2nd,Score,Score,5,  0.09%,2,2
Generic out,Liner,-,-,6D,Out,1st,2nd,5,  0.09%,3,0
Double,Liner,-,-,7D,2nd,Score,Score,5,  0.09%,2,2
Double,Liner,-,-,7D,2nd,3rd,Score,5,  0.09%,2,1
Pickoff,-,-,-,-,Stays,2nd,3rd,5,  0.09%,2,0
Generic out,Fly,-,-,7LS,Out,1st,2nd,5,  0.09%,3,0
Generic out,Liner,-,-,6,Out,1st,2nd,5,  0.09%,3,0
Single,Grounder,-,-,6M,2nd,3rd,Score,5,  0.09%,2,1
Pickoff,-,-,-,-,Stays,Out,2nd,5,  0.09%,3,0
Double,Liner,-,-,78XD,2nd,3rd,Score,5,  0.09%,2,1
Interference,-,-,-,-,1st,2nd,3rd,5,  0.09%,2,0
Generic out,Pop-up,-,-,4S,Out,1st,2nd,5,  0.09%,3,0
Single,Liner,-,-,8,2nd,3rd,Score,5,  0.09%,2,1
Double,Liner,-,-,7LS,2nd,Score,Score,5,  0.09%,2,2
Generic out,Fly,-,Y,9LSF,Out,1st,2nd,5,  0.09%,3,0
Generic out,Liner,-,-,34,Out,1st,2nd,5,  0.09%,3,0
Single,Grounder,-,-,6MS,1st,2nd,3rd,5,  0.09%,2,0
Generic out,Fly,-,-,34D,Out,1st,2nd,5,  0.09%,3,0
Double,Liner,-,-,9LS,2nd,Score,Score,5,  0.09%,2,2
Single,Grounder,-,-,5,1st,2nd,3rd,5,  0.09%,2,0
Double,Liner,-,-,89D,2nd,Score,Score,5,  0.09%,2,2
Single,Fly,-,-,8S,1st,3rd,Score,5,  0.09%,2,1
Single,Liner,-,-,9,1st,2nd,Out,5,  0.09%,3,0
Single,Fly,-,-,78S,1st,3rd,Score,5,  0.09%,2,1
Single,Liner,-,-,8S,1st,3rd,Score,5,  0.09%,2,1
Generic out,Grounder,-,-,6,1st,1st,Out,4,  0.07%,3,0
Generic out,Fly,-,Y,9LF,Out,1st,2nd,4,  0.07%,3,0
Generic out,Fly,-,Y,7LF,Out,1st,2nd,4,  0.07%,3,0
Generic out,Pop-up,-,-,23,Out,1st,2nd,4,  0.07%,3,0
Generic out,Pop-up,-,-,34S,Out,1st,2nd,4,  0.07%,3,0
Generic out,Grounder,-,-,34,1st,Out,2nd,4,  0.07%,3,0
Double,Liner,-,-,8XD,2nd,Score,Score,4,  0.07%,2,2
Generic out,Pop-up,-,-,89S,Out,1st,2nd,4,  0.07%,3,0
Single,Liner,-,-,9,2nd,3rd,Score,4,  0.07%,2,1
Generic out,Liner,-,-,9L,Out,1st,2nd,4,  0.07%,3,0
Single,Grounder,-,-,6M,1st,2nd,3rd,4,  0.07%,2,0
Double,Liner,-,-,9D,2nd,Score,Score,4,  0.07%,2,2
Generic out,Pop-up,-,-,6S,Out,1st,2nd,4,  0.07%,3,0
Home run,Liner,-,-,7D,Score,Score,Score,4,  0.07%,2,3
Single,Grounder,-,-,5S,1st,2nd,3rd,4,  0.07%,2,0
Home run,Liner,-,-,9LD,Score,Score,Score,4,  0.07%,2,3
Single,Grounder,-,-,1S,1st,2nd,3rd,4,  0.07%,2,0
Generic out,Liner,-,-,4MD,Out,1st,2nd,4,  0.07%,3,0
Other advance,-,-,-,-,Stays,1st,Out,4,  0.07%,3,0
Single,Liner,-,-,7S,2nd,3rd,Score,4,  0.07%,2,1
Single,Liner,-,-,8D,1st,3rd,Score,4,  0.07%,2,1
Single,Grounder,-,-,56,2nd,3rd,Score,4,  0.07%,2,1
Generic out,Liner,-,-,4M,Out,1st,2nd,3,  0.05%,3,0
Generic out,Liner,-,-,9LD,Out,1st,2nd,3,  0.05%,3,0
Single,Liner,-,-,78,2nd,3rd,Score,3,  0.05%,2,1
Single,Liner,-,-,8D,1st,2nd,Score,3,  0.05%,2,1
Single,Fly,-,-,9LS,1st,3rd,Score,3,  0.05%,2,1
Single,Liner,-,-,78D,1st,2nd,Score,3,  0.05%,2,1
Fielder's choice,Grounder,-,-,6,1st,2nd,3rd,3,  0.05%,2,0
Single,Grounder,-,-,6,1st,2nd,Out,3,  0.05%,3,0
Double,Grounder,-,-,5,2nd,Score,Score,3,  0.05%,2,2
Single,Liner,-,-,7,1st,3rd,Score,3,  0.05%,2,1
Double,Liner,-,-,9L,2nd,Score,Score,3,  0.05%,2,2
Generic out,Liner,-,-,6M,Out,1st,2nd,3,  0.05%,3,0
Generic out,Grounder,-,-,4S,Out,1st,2nd,3,  0.05%,3,0
Pickoff,-,-,-,-,Stays,1st,3rd,3,  0.05%,2,0
Generic out,Pop-up,-,-,4MD,Out,1st,2nd,3,  0.05%,3,0
Generic out,Grounder,-,-,4MD,Out,1st,2nd,3,  0.05%,3,0
Single,Grounder,-,-,2,1st,2nd,3rd,3,  0.05%,2,0
Generic out,Grounder,-,-,34D,Out,1st,2nd,3,  0.05%,3,0
Single,Liner,-,-,7D,1st,3rd,Score,3,  0.05%,2,1
Generic out,Fly,-,Y,7LSF,Out,1st,2nd,3,  0.05%,3,0
Triple,Fly,-,-,78XD,3rd,Score,Score,3,  0.05%,2,2
Home run,Liner,-,-,78XD,Score,Score,Score,3,  0.05%,2,3
Generic out,Pop-up,-,-,4M,Out,1st,2nd,3,  0.05%,3,0
Single,Liner,-,-,78S,1st,2nd,3rd,3,  0.05%,2,0
Single,Liner,-,-,7,1st,2nd,Out,3,  0.05%,3,0
Generic out,Pop-up,-,-,2,Out,1st,2nd,3,  0.05%,3,0
Generic out,Grounder,-,-,15,Out,1st,2nd,3,  0.05%,3,0
Single,Liner,-,-,7LS,1st,3rd,Score,3,  0.05%,2,1
Single,Liner,-,-,9,1st,Out,Score,3,  0.05%,3,1
Generic out,Grounder,-,-,6S,1st,Out,2nd,3,  0.05%,3,0
Generic out,Fly,-,Y,5DF,Out,1st,2nd,3,  0.05%,3,0
Generic out,Pop-up,-,-,1,Out,1st,2nd,3,  0.05%,3,0
Single,Liner,-,-,7S,1st,3rd,Score,3,  0.05%,2,1
Double,Liner,-,-,78,2nd,3rd,Score,3,  0.05%,2,1
Single,Grounder,-,-,5,1st,2nd,Score,3,  0.05%,2,1
Single,Grounder,-,-,4M,2nd,3rd,Score,3,  0.05%,2,1
Double,Liner,-,-,9LD,2nd,Score,Score,3,  0.05%,2,2
Single,Liner,-,-,8D,1st,Out,Score,3,  0.05%,3,1
Single,Grounder,-,-,6,2nd,3rd,Score,3,  0.05%,2,1
Generic out,Liner,-,-,78S,Out,1st,2nd,3,  0.05%,3,0
Single,Grounder,-,-,34,2nd,3rd,Score,3,  0.05%,2,1
Double,Liner,-,-,78D,2nd,3rd,Score,3,  0.05%,2,1
Double,Liner,-,-,89XD,2nd,3rd,Score,3,  0.05%,2,1
Single,Fly,-,-,8,1st,3rd,Score,3,  0.05%,2,1
Generic out,Pop-up,-,-,4MS,Out,1st,2nd,3,  0.05%,3,0
Double,Grounder,-,-,3,2nd,Score,Score,3,  0.05%,2,2
Single,Fly,-,-,9S,1st,3rd,Score,3,  0.05%,2,1
